City Name,Temperature,Humidity,Cloudiness,Wind Speed,Country,Latitude,Longitude,Date
Kavaratti,84.82,100,0,7.74,IN,10.57,72.64,1554922030
San Andres,81.94,100,100,4.94,PH,13.32,122.68,1554922206
Alofi,73.4,100,64,8.63,NU,-19.06,-169.92,1554919200
Butaritari,80.86,100,80,12.33,KI,3.07,172.79,1554921995
Cooma,28.4,100,0,2.26,AU,-36.24,149.13,1554919200
Simplicio Mendes,74.47,100,88,3.04,BR,-7.85,-41.91,1554922173
Padang,80.77,100,76,2.26,ID,-0.92,100.36,1554922224
Sambava,83.29,100,48,17.69,MG,-14.27,50.17,1554922145
Kavieng,82.3,100,76,0.92,PG,-2.57,150.8,1554922002
Bloemhof,58.81,100,64,9.64,ZA,-27.65,25.61,1554922140
Provideniya,18.49,100,76,4.61,RU,64.42,-173.23,1554922028
Upernavik,17.59,100,80,18.48,GL,72.79,-56.15,1554922039
Hithadhoo,83.47,100,32,4.61,MV,-0.6,73.08,1554922126
Anqing,51.52,100,92,9.42,CN,30.51,117.04,1554922125
Mersing,76.54,100,32,2.48,MY,2.43,103.84,1554922207
Sibolga,70.96,100,76,0.36,ID,1.74,98.78,1554922044
Wanning,48.76,100,75,5.82,AT,48.64,13.53,1554921937
Namatanai,81.49,100,44,1.7,PG,-3.66,152.44,1554922180
Bima,76.0,100,68,3.15,ID,-8.45,118.73,1554922180
Hambantota,78.8,100,40,2.24,LK,6.12,81.12,1554919800
Wajima,42.97,100,80,14.79,JP,37.4,136.9,1554922199
Port Lincoln,56.38,100,0,10.65,AU,-34.72,135.86,1554922117
Simoes,72.13,100,88,4.61,BR,-7.6,-40.82,1554922059
Caravelas,80.77,100,68,6.73,BR,-17.73,-39.27,1554921923
Ushibuka,52.42,100,64,15.68,JP,32.19,130.02,1554922195
Bandarbeyla,81.58,100,0,9.31,SO,9.49,50.81,1554922189
Ambilobe,70.78,100,88,3.71,MG,-13.19,49.05,1554922103
Kieta,77.62,100,92,4.05,PG,-6.22,155.63,1554921971
Lorengau,81.85,100,32,0.58,PG,-2.02,147.27,1554922189
Faanui,80.23,100,76,11.77,PF,-16.48,-151.75,1554922087
Dhidhdhoo,85.54,100,0,2.15,MV,6.88,73.1,1554922097
Ryotsu,41.35,100,92,13.22,JP,38.08,138.43,1554921992
Ugoofaaru,85.72,100,0,1.14,MV,5.67,73.0,1554922185
Qaanaaq,13.27,100,44,2.37,GL,77.48,-69.36,1554921977
Meulaboh,80.32,100,76,3.15,ID,4.14,96.13,1554922161
Honiara,71.41,100,92,0.36,SB,-9.43,159.96,1554922168
Maumere,77.89,100,56,1.14,ID,-8.63,122.22,1554922161
Atuona,81.22,100,76,9.19,PF,-9.8,-139.03,1554921976
Dali,48.1,100,20,1.92,CN,25.6,100.24,1554922166
Rikitea,75.1,100,92,20.6,PF,-23.12,-134.97,1554921978
Hasaki,39.87,100,75,14.99,JP,35.73,140.83,1554921742
Timbiqui,81.76,100,20,4.38,CO,2.77,-77.67,1554922160
Port Blair,85.54,99,0,2.82,IN,11.67,92.75,1554922069
Dikson,10.66,99,64,12.66,RU,73.51,80.55,1554921978
Gisborne,50.0,99,8,6.51,NZ,-38.66,178.02,1554921608
Wanxian,51.52,98,92,3.04,CN,30.8,108.39,1554922196
Sanming,65.2,98,92,0.69,CN,26.24,117.6,1554922059
Manuk Mangkaw,83.92,98,8,11.21,PH,4.8,119.85,1554922069
Bantou,65.2,98,92,0.69,CN,26.22,117.49,1554922148
Namibe,76.09,98,0,14.79,AO,-15.19,12.15,1554922016
Beringovskiy,14.62,98,80,10.09,RU,63.05,179.32,1554921987
Tocopilla,66.82,98,12,4.61,CL,-22.09,-70.2,1554922128
Robertsport,83.2,98,0,7.63,LR,6.75,-11.37,1554922105
Pontianak,79.33,98,88,1.92,ID,-0.02,109.34,1554922057
Corn Island,81.85,98,0,5.73,NI,12.17,-83.04,1554922121
Furukawa,33.34,98,92,10.42,JP,38.57,140.96,1554922101
Tuy Hoa,73.75,98,20,1.92,VN,13.08,109.3,1554922230
Biak,79.15,98,8,2.04,ID,-0.91,122.88,1554922015
Lavrentiya,13.45,98,48,7.74,RU,65.58,-170.99,1554921997
Sabang,78.25,97,68,5.28,PH,13.72,123.58,1554922031
Sinnamary,79.6,97,92,8.75,GF,5.38,-52.96,1554922146
Kapit,72.22,97,92,2.37,MY,2.02,112.94,1554922018
Finschhafen,73.12,97,80,0.81,PG,-6.6,147.85,1554922131
Dongsheng,49.99,97,92,5.95,CN,29.72,112.52,1554922016
San Policarpo,79.33,97,92,8.97,PH,12.18,125.51,1554922152
Weligama,80.59,97,24,2.82,LK,5.97,80.42,1554922136
Majene,83.47,97,20,3.94,ID,-3.54,118.97,1554922090
Kampene,68.71,97,88,0.81,CD,-3.59,26.67,1554922197
Tateyama,44.49,96,92,1.99,JP,36.66,137.31,1554921597
Gryazovets,40.0,96,0,12.66,RU,58.88,40.25,1554922176
Ust-Kulom,37.12,96,88,5.17,RU,61.69,53.69,1554922079
Okhotsk,25.42,96,92,6.17,RU,59.36,143.24,1554922000
Sindor,33.52,96,92,8.63,RU,62.87,51.9,1554922226
Loum,75.1,96,80,2.59,CM,4.72,9.72,1554922128
Mataura,48.0,96,0,3.6,NZ,-46.19,168.86,1554921605
Tuatapere,48.0,96,80,6.06,NZ,-46.13,167.69,1554921605
Pangkalanbuun,73.3,96,48,2.93,ID,-2.68,111.62,1554922120
Kut Chap,74.38,95,0,2.82,TH,17.43,102.57,1554922196
Te Anau,41.44,95,76,1.92,NZ,-45.41,167.72,1554921992
Ahipara,62.41,95,56,15.01,NZ,-35.17,173.16,1554922178
Oranjemund,61.6,95,80,3.27,ZA,-28.55,16.43,1554922058
Shenjiamen,53.32,95,76,10.09,CN,29.96,122.3,1554922199
Isangel,77.0,94,75,5.95,VU,-19.55,169.27,1554919200
Dingle,75.28,94,32,4.5,PH,11.0,122.67,1554922114
Waingapu,72.31,94,24,2.93,ID,-9.65,120.26,1554922127
Cockburn Town,80.05,94,8,15.12,TC,21.46,-71.14,1554922040
Lichuan,47.47,94,88,1.59,CN,30.3,108.94,1554922163
Manta,52.78,94,76,2.15,RO,45.1,24.1,1554922133
Sri Aman,78.8,94,76,1.81,MY,1.24,111.46,1554919200
Kununurra,75.2,94,44,6.73,AU,-15.77,128.74,1554919200
Payo,74.56,94,80,2.26,ID,-3.75,103.64,1554922179
Bintulu,78.8,94,75,3.36,MY,3.17,113.03,1554919200
Hermanus,63.52,94,0,1.99,ZA,-34.42,19.24,1554921902
Vetluga,42.34,94,56,7.74,RU,57.85,45.78,1554922208
Kota Belud,78.1,94,75,4.7,MY,6.35,116.43,1554919200
Port Hedland,82.4,94,20,5.82,AU,-20.31,118.58,1554919200
Kaeo,55.99,94,20,9.75,NZ,-35.1,173.78,1554921485
Limbang,79.03,94,75,2.24,BN,4.75,115.01,1554919200
Wattegama,71.68,94,56,2.26,LK,7.35,80.68,1554922006
Shenzhen,77.83,94,40,11.18,CN,22.54,114.05,1554922068
Simpang,77.56,94,75,3.36,MY,4.82,100.71,1554919200
Barra Patuca,80.95,94,56,10.87,HN,15.8,-84.28,1554922104
Gondanglegi,71.32,94,32,2.93,ID,-7.75,112.01,1554922175
Ormara,77.8,94,20,8.86,PK,25.21,64.64,1554921981
Nelson Bay,55.99,93,100,6.93,AU,-32.72,152.14,1554921962
Kalmunai,78.61,93,36,2.93,LK,7.42,81.82,1554922225
Ribeira Grande,62.6,93,75,6.93,PT,38.52,-28.7,1554921000
Sisimiut,29.47,93,36,1.92,GL,66.94,-53.67,1554922063
Cape Town,63.37,93,75,10.29,ZA,-33.93,18.42,1554921727
Codrington,61.32,93,40,1.12,AU,-28.95,153.24,1554921976
Vila Franca do Campo,62.6,93,40,14.99,PT,37.72,-25.43,1554921000
Ketchikan,41.05,93,90,5.82,US,55.34,-131.65,1554918780
Labuhan,76.09,93,56,1.92,ID,-2.54,115.51,1554922138
Rabo de Peixe,62.6,93,40,14.99,PT,37.8,-25.58,1554921000
Port Alfred,64.99,93,8,4.0,ZA,-33.59,26.89,1554921974
North Platte,35.6,93,90,23.04,US,41.12,-100.77,1554918780
Tabou,85.9,93,0,13.89,CI,4.42,-7.36,1554922167
Yevlax,55.4,93,90,4.7,AZ,40.61,47.15,1554919200
Srivardhan,74.65,93,0,6.73,IN,18.03,73.02,1554922115
Kabinda,72.85,93,20,4.38,CD,-6.14,24.49,1554922229
Airai,70.42,92,44,1.59,TL,-8.93,125.41,1554922000
Strezhevoy,23.0,92,90,2.24,RU,60.73,77.6,1554919200
Riverton,31.66,92,90,20.8,US,43.02,-108.38,1554921990
Toyooka,41.89,92,88,10.54,JP,35.55,134.82,1554922060
New Ulm,29.32,92,90,11.41,US,44.31,-94.46,1554921613
Pangnirtung,5.0,92,75,5.82,CA,66.15,-65.72,1554919200
Storslett,15.25,92,0,1.92,NO,69.77,21.03,1554921983
Longonjo,64.3,92,88,2.71,AO,-12.91,15.25,1554922170
Gori,45.76,92,8,1.92,GE,41.99,44.11,1554922223
Rapid Valley,21.6,92,90,24.16,US,44.06,-103.15,1554922125
Zhuhai,30.2,92,20,2.24,CN,40.71,112.04,1554919200
Trincomalee,77.17,92,36,3.15,LK,8.58,81.23,1554922010
Plettenberg Bay,68.71,91,0,8.08,ZA,-34.05,23.37,1554922049
Henties Bay,57.99,91,0,8.99,NA,-22.12,14.28,1554919326
Goba,56.02,91,64,2.71,ET,7.01,39.97,1554922119
Moirang,57.55,91,0,0.92,IN,24.5,93.78,1554922193
Killarney,55.0,91,24,7.0,AU,-28.34,152.3,1554921004
Povenets,29.92,91,92,12.88,RU,62.85,34.83,1554922219
Tura,66.1,91,0,3.27,IN,25.52,90.21,1554922107
Barrow,64.03,90,92,13.22,AR,-38.31,-60.23,1554921984
Sao Filipe,73.39,90,8,18.7,CV,14.9,-24.5,1554922001
Kaitangata,48.0,90,88,1.99,NZ,-46.28,169.85,1554921905
Along,55.03,90,0,1.92,IN,28.17,94.8,1554922101
Hobyo,80.77,89,12,8.63,SO,5.35,48.53,1554922136
Carutapera,82.21,89,76,5.61,BR,-1.2,-46.02,1554921997
Srednekolymsk,12.55,89,24,4.16,RU,67.46,153.71,1554921974
Maningrida,76.9,89,0,12.44,AU,-12.05,134.23,1554922205
Buraydah,68.0,88,75,9.17,SA,26.33,43.97,1554919200
Port Moresby,78.8,88,40,5.82,PG,-9.47,147.16,1554919200
Nuristan,62.6,88,75,11.41,UZ,38.49,65.64,1554919200
Semirom,33.97,88,32,2.26,IR,31.41,51.57,1554922128
Nyzhni Sirohozy,53.14,88,64,5.39,UA,46.85,34.38,1554922121
Tam Ky,78.8,88,40,2.24,VN,15.57,108.48,1554919200
Nanortalik,34.69,88,44,20.27,GL,60.14,-45.24,1554922027
Victoria,78.87,88,75,4.61,BN,5.28,115.24,1554919200
Victoria,78.85,88,75,4.61,BN,5.28,115.24,1554919200
Byron Bay,62.92,88,90,10.29,AU,-28.65,153.62,1554921976
Toamasina,80.6,88,75,3.36,MG,-18.17,49.38,1554919200
Verkhniy Landekh,53.95,88,88,16.69,RU,56.84,42.6,1554922167
Bukoba,68.0,88,0,5.39,TZ,-1.33,31.81,1554919200
Dedza,66.19,87,0,4.16,MW,-14.38,34.33,1554922231
Luderitz,60.79,87,8,7.74,NA,-26.65,15.16,1554922008
Kuryk,52.6,87,8,2.37,KZ,43.18,51.68,1554922138
Deputatskiy,6.7,87,56,2.71,RU,69.3,139.9,1554922010
Shimoda,47.93,87,40,2.24,JP,34.7,138.93,1554921911
Marsala,54.72,87,40,11.41,IT,37.8,12.44,1554921990
Sur,80.77,87,36,6.85,OM,22.57,59.53,1554921923
Skibbereen,44.6,87,90,9.17,IE,51.55,-9.27,1554921000
Divnomorskoye,54.13,87,64,1.7,RU,44.5,38.13,1554922064
Dingzhou,50.0,87,88,4.47,CN,38.51,115.0,1554919200
Nortelandia,84.1,87,44,3.71,BR,-14.45,-56.8,1554922126
Shepsi,56.29,87,48,7.07,RU,44.04,39.15,1554922026
Ambon,49.55,87,75,9.17,FR,47.55,-2.56,1554921992
Poum,48.2,87,90,11.41,MK,41.28,20.71,1554921000
Launceston,37.65,86,12,2.24,AU,-41.43,147.14,1554922040
Nyagan,23.8,86,48,4.5,RU,62.14,65.43,1554922054
Longyearbyen,30.2,86,75,2.24,NO,78.22,15.63,1554918600
Nikolskoye,33.21,86,90,11.18,RU,59.7,30.79,1554921936
Malazgirt,37.12,86,48,3.15,TR,39.15,42.54,1554922231
Keuruu,26.98,86,75,5.82,FI,62.26,24.71,1554921874
Obo,76.27,86,0,2.93,CF,5.39,26.49,1554922159
Batemans Bay,37.6,85,0,4.0,AU,-35.71,150.18,1554922024
San Isidro,73.93,85,56,3.15,PH,16.74,121.63,1554922218
Murray Bridge,50.34,85,0,7.18,AU,-35.12,139.28,1554922140
Zhigansk,28.03,85,88,12.44,RU,66.77,123.37,1554922204
Bondo,79.87,84,24,2.15,CD,3.81,23.69,1554922023
Dunedin,51.01,84,92,5.01,NZ,-45.87,170.5,1554921560
Talnakh,6.79,84,64,4.61,RU,69.49,88.39,1554921996
San Quintin,73.03,84,0,3.15,PH,17.54,120.52,1554922192
Lata,44.23,84,0,2.37,IN,30.78,78.62,1554922134
Leshukonskoye,31.45,84,92,7.74,RU,64.9,45.76,1554921994
Gwadar,80.77,84,0,10.98,PK,25.12,62.33,1554922120
Sladkovo,32.98,84,0,3.04,RU,55.53,70.34,1554922199
Pinega,31.45,84,88,8.75,RU,64.7,43.39,1554922212
East London,69.8,83,0,13.87,ZA,-33.02,27.91,1554919200
Jamestown,38.11,83,0,5.95,AU,-33.21,138.6,1554921999
Cap Malheureux,78.44,83,40,6.93,MU,-19.98,57.61,1554921844
Mnogovershinnyy,20.47,83,44,3.04,RU,53.94,139.92,1554922135
Helong,64.84,83,92,3.27,CN,25.94,116.13,1554922118
Mbandaka,80.68,83,64,2.15,CD,0.05,18.26,1554922182
Mahebourg,78.37,83,40,6.93,MU,-20.41,57.7,1554922144
Bundaberg,69.91,83,75,9.17,AU,-24.87,152.35,1554921940
Naze,84.2,83,75,3.36,NG,5.43,7.07,1554919200
Grand Gaube,78.44,83,40,6.93,MU,-20.01,57.66,1554921844
Avarua,75.2,83,24,4.7,CK,-21.21,-159.78,1554919200
Bambous Virieux,78.37,83,40,6.93,MU,-20.34,57.76,1554921844
Makakilo City,75.31,83,75,3.36,US,21.35,-158.09,1554921982
Owerri,84.2,83,75,3.36,NG,5.49,7.03,1554919200
Ostrovnoy,20.83,83,76,8.19,RU,68.05,39.51,1554922062
Ganzhou,61.42,83,92,4.38,CN,25.86,114.93,1554922038
Walvis Bay,57.7,82,0,6.93,NA,-22.95,14.51,1554919326
Mitu,43.33,82,24,2.71,IR,36.2,46.09,1554922182
Turukhansk,9.58,82,68,17.47,RU,65.8,87.96,1554921993
Bredasdorp,63.55,82,0,9.17,ZA,-34.53,20.04,1554921098
Poronaysk,18.04,82,0,3.04,RU,49.22,143.1,1554922108
Kholodnyy,13.27,82,76,2.59,RU,62.72,147.95,1554922184
Grafton,59.14,82,32,10.29,AU,-29.69,152.93,1554921815
Saint George,57.07,82,75,5.82,GR,39.45,22.34,1554918600
Swakopmund,57.65,82,0,6.93,NA,-22.68,14.53,1554919326
Khani,55.4,82,75,5.82,GE,41.96,42.96,1554919200
Jamame,81.49,81,12,7.96,SO,0.07,42.75,1554922143
Naryan-Mar,12.1,81,48,2.93,RU,67.67,53.09,1554922212
Penzance,48.36,81,20,6.93,GB,50.12,-5.53,1554922086
Quelimane,77.53,81,56,9.19,MZ,-17.88,36.89,1554922183
Lewistown,51.53,81,90,18.34,US,40.39,-90.15,1554922031
Kasongo-Lunda,76.09,81,92,3.71,CD,-6.48,16.82,1554922002
Sosva,33.97,81,44,2.93,RU,59.17,61.86,1554922105
Plymouth,49.73,81,20,6.93,GB,50.37,-4.14,1554921979
Vaini,73.03,81,0,3.15,IN,15.34,74.49,1554921988
Bumba,81.31,81,32,4.16,CD,2.18,22.47,1554922088
Igarka,7.96,81,64,15.46,RU,67.47,86.57,1554922116
Mehamn,34.57,80,40,14.99,NO,71.03,27.85,1554918600
Torbay,36.66,80,90,13.87,CA,47.66,-52.73,1554922018
Sawakin,75.55,80,0,4.5,SD,19.1,37.33,1554922156
Banyo,73.48,80,0,2.59,CM,6.75,11.81,1554922208
Qasigiannguit,30.2,80,20,12.75,GL,68.82,-51.19,1554918600
Forssa,29.14,80,20,1.99,FI,60.82,23.63,1554922019
Ilulissat,30.2,80,20,12.75,GL,69.22,-51.1,1554918600
Jimenez,84.2,79,75,11.41,PA,8.54,-82.37,1554919200
Mayya,24.8,79,40,4.47,RU,61.74,130.28,1554919200
Zaozhuang,44.41,79,64,2.15,CN,34.86,117.55,1554922097
Mangochi,75.01,79,48,3.49,MW,-14.48,35.26,1554922114
Namtsy,24.8,79,40,4.47,RU,62.72,129.66,1554919200
Mirnyy,36.85,79,0,4.61,RU,56.57,36.46,1554922060
Port-Gentil,84.2,79,20,10.29,GA,-0.72,8.78,1554919200
Sao Felix do Xingu,82.39,79,88,2.71,BR,-6.64,-51.99,1554922041
Yuzhnyy,52.15,78,0,7.4,RU,53.54,39.45,1554922174
Vao,31.63,78,88,8.19,EE,59.1,26.19,1554922031
Nyurba,32.35,78,68,7.07,RU,63.29,118.35,1554922112
College,38.82,78,1,4.7,US,64.86,-147.8,1554921928
Arraial do Cabo,77.83,78,75,3.36,BR,-22.97,-42.02,1554919200
Inhambane,78.8,78,20,4.7,MZ,-23.87,35.38,1554919200
Kailua,75.47,78,75,11.41,US,21.39,-157.74,1554922189
Fairbanks,39.29,78,1,4.7,US,64.84,-147.72,1554921846
Makasar,80.29,78,20,8.05,ID,-6.28,106.88,1554921748
Hilo,72.34,78,40,4.7,US,19.71,-155.08,1554921738
Slave Lake,41.0,78,1,4.7,CA,55.28,-114.77,1554919200
Bethel,31.06,77,1,6.93,US,60.79,-161.76,1554918960
Iqaluit,5.0,77,20,23.04,CA,63.75,-68.52,1554921721
Tuktoyaktuk,5.0,77,90,13.87,CA,69.44,-133.03,1554919200
Muros,53.46,76,40,11.41,ES,42.77,-9.06,1554922112
Alta Floresta,84.19,76,44,2.71,BR,-9.87,-56.08,1554922099
Hendaye,54.43,76,75,5.82,FR,43.37,-1.77,1554922085
Bonavista,39.0,76,92,10.0,CA,48.65,-53.11,1554921993
Otkaznoye,51.26,76,90,6.71,RU,44.32,43.85,1554919200
Ust-Ilimsk,29.47,76,76,9.86,RU,57.96,102.73,1554922214
Vila,52.75,76,75,5.82,IT,45.18,8.4,1554922043
Zelenodolsk,57.2,76,20,6.29,UA,47.57,33.65,1554919200
Kushima,53.01,76,0,11.99,JP,31.5,131.29,1554921745
Taltal,69.07,76,0,3.6,CL,-25.41,-70.49,1554921993
Bekeshevskaya,51.26,76,90,6.71,RU,44.11,42.43,1554919200
Methoni,56.07,76,20,13.0,GR,36.82,21.7,1554921945
Katsuura,48.25,76,40,17.22,JP,33.93,134.5,1554921667
Pudozh,26.77,75,24,2.93,RU,61.81,36.54,1554922139
Hofn,42.8,75,90,11.41,IS,64.25,-15.21,1554919200
Chumikan,23.26,75,36,1.59,RU,54.72,135.31,1554922120
Kruisfontein,68.26,75,0,12.33,ZA,-34.0,24.73,1554922092
Vagay,29.92,75,0,3.71,RU,57.94,69.02,1554921976
